,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
16,0.5184597969055176,0.0,0.008633136749267578,0.0,0.0001,"(16,)",10,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
208,0.34044623374938965,0.0,0.01526784896850586,0.0,0.01,"(16,)",10,0,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
604,1.6283471584320068,0.0,0.010064840316772461,0.0,100.0,"(16,)",10000,0,"{'alpha': 100.0, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.25062500000000004,0.25062500000000004,0.0
304,0.3236532211303711,0.0,0.004002809524536133,0.0,0.1,"(16,)",10,0,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
112,0.46198201179504395,0.0,0.0044689178466796875,0.0,0.001,"(16,)",10,0,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
496,0.32218432426452637,0.0,0.003998994827270508,0.0,10.0,"(16,)",10,0,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
400,0.41002988815307617,0.0,0.004634857177734375,0.0,1.0,"(16,)",10,0,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.24625,0.24625,0.0
691,0.2450418472290039,0.0,0.013307332992553711,0.0,1000.0,"(16,)",10,3,"{'alpha': 1000.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.245,0.245,0.0,807,0.39687500000000003,0.39687500000000003,0.0
771,0.31487607955932617,0.0,0.0037560462951660156,0.0,10000.0,"(8,)",10,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 3}",0.245,0.245,0.0,807,0.2472916666666667,0.2472916666666667,0.0
690,0.2726399898529053,0.0,0.006117105484008789,0.0,1000.0,"(16,)",10,2,"{'alpha': 1000.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 2}",0.245,0.245,0.0,807,0.243125,0.243125,0.0
688,0.28505897521972656,0.0,0.011156082153320312,0.0,1000.0,"(16,)",10,0,"{'alpha': 1000.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.245,0.245,0.0,807,0.2460416666666667,0.2460416666666667,0.0
481,0.16856908798217773,0.0,0.004294872283935547,0.0,10.0,"(8,)",10,1,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 1}",0.24333333333333332,0.24333333333333332,0.0,811,0.24250000000000002,0.24250000000000002,0.0
193,0.16275787353515625,0.0,0.006396293640136719,0.0,0.01,"(8,)",10,1,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 1}",0.24166666666666667,0.24166666666666667,0.0,812,0.235625,0.235625,0.0
97,0.2031550407409668,0.0,0.003715038299560547,0.0,0.001,"(8,)",10,1,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 1}",0.24166666666666667,0.24166666666666667,0.0,812,0.235625,0.235625,0.0
